id,programa,latitud,longitud,alcaldia
MEX-AIM-AER-AICMT1-M-GW062,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW063,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW064,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW065,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW066,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW067,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW068,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW069,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW070,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW071,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW072,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW073,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW074,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW075,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW076,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW077,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW078,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW079,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW080,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW081,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW082,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW083,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW084,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW085,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW086,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW087,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW088,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW089,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW090,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW091,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW092,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW094,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW095,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW096,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW097,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW098,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW099,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW100,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW101,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW102,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW103,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW104,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW105,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW106,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW107,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW108,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW109,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW110,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW111,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW112,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW113,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW114,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW115,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW116,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW117,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW118,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW119,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW120,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW121,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW122,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW123,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW124,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW125,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW126,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW127,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW128,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW129,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW130,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW131,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW132,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW133,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW134,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW135,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW136,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW137,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW138,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW139,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW140,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
